allotment_yearmonth,total_qty_kg,num_transactions,num_cards,avg_per_card
2025-01,1448.0,80,78,18.564102564102566
2025-02,10321.0,607,598,17.259197324414714
2025-03,7150.0,428,419,17.064439140811455
2025-04,12081.0,734,706,17.111898016997166
2025-05,34366.0,1807,1767,19.44878324844369
2025-06,33774.0,1786,1757,19.22253841775754
2025-07,23624.0,1188,1179,20.037319762510602
2025-08,23465.0,1173,1165,20.141630901287552
2025-09,22163.0,1135,1123,19.73552983081033
2025-10,22480.0,1120,1106,20.325497287522605
2025-11,30529.0,1628,1591,19.188560653676934
2025-12,30944.0,1664,1627,19.01905347264905
2026-01,34483.0,1857,1825,18.894794520547944
2026-02,34433.0,1850,1822,18.89846322722283
2026-03,34417.0,1852,1819,18.920835623969214
